,filepath,superclass,label,split
0,other_objects/airplane/airplane(281).tif,other objects,airplane,train
1,construction_land/storage_room/storage_room(136).tif,construction land,storage room,train
2,transportation/airport_runway/airport_runway(285).tif,transportation,airport runway,train
3,cultivated_land/green_farmland/green_farmland(599).tif,cultivated land,green farmland,train
4,water_area/stream/stream(349).tif,water area,stream,train
5,cultivated_land/green_farmland/green_farmland(291).tif,cultivated land,green farmland,train
6,cultivated_land/dry_farm/dry_farm(150).tif,cultivated land,dry farm,train
7,other_land/sandbeach/sand_beach(287).tif,other land,sandbeach,train
8,woodland/sapling/sapling(237).tif,woodland,sapling,train
9,water_area/river/river(122).tif,water area,river,train
10,water_area/stream/stream(141).tif,water area,stream,train
11,water_area/sea/sea(55).tif,water area,sea,train
12,transportation/highway/highway(91).tif,transportation,highway,train
13,water_area/sea/sea(372).tif,water area,sea,train
14,transportation/bridge/bridge(170).tif,transportation,bridge,train
15,cultivated_land/bare_land/bare_land(394).tif,cultivated land,bare land,train
16,other_land/desert/desert(34).tif,other land,desert,train
17,woodland/shrubwood/shrubwood(797).tif,woodland,shrubwood,train
18,construction_land/storage_room/storage_room(661).tif,construction land,storage room,train
19,water_area/sea/sea(509).tif,water area,sea,train
20,construction_land/city_building/city_building(968).tif,construction land,city building,train
21,other_objects/airplane/airplane(125).tif,other objects,airplane,train
22,other_land/desert/desert(911).tif,other land,desert,train
23,construction_land/storage_room/storage_room(1284).tif,construction land,storage room,train
24,woodland/shrubwood/shrubwood(1036).tif,woodland,shrubwood,train
25,cultivated_land/bare_land/bare_land(781).tif,cultivated land,bare land,train
26,cultivated_land/dry_farm/dry_farm(654).tif,cultivated land,dry farm,train
27,woodland/forest/forest(909).tif,woodland,forest,train
28,other_land/snow_mountain/snow_mountain(80).tif,other land,snow mountain,train
29,cultivated_land/dry_farm/dry_farm(1104).tif,cultivated land,dry farm,train
30,other_land/desert/desert(438).tif,other land,desert,train
31,construction_land/city_building/city_building(434).tif,construction land,city building,train
32,woodland/sapling/sapling(404).tif,woodland,sapling,train
33,woodland/shrubwood/shrubwood(1042).tif,woodland,shrubwood,train
34,cultivated_land/dry_farm/dry_farm(985).tif,cultivated land,dry farm,train
35,transportation/avenue/avenue(521).tif,transportation,avenue,train
36,water_area/stream/stream(124).tif,water area,stream,train
37,construction_land/container/container(13).tif,construction land,container,train
38,cultivated_land/dry_farm/dry_farm(1105).tif,cultivated land,dry farm,train
39,transportation/marina/marina(288).tif,transportation,marina,train
